Price,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,BB_Width
Ticker,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,
2024-08-19,59493.453125,25911207712,60015.81283199532,61562.27248194839,59425.835976021765,62.66727461915284,-1071.172542033586,-1147.0667778326313,0.18655160204117555
2024-08-20,59012.79296875,31613400008,59920.28713073386,61462.29289319551,59421.72609517175,57.38886707462146,-1019.9514906778131,-1121.6437204016677,0.16892149774720866
2024-08-21,61175.19140625,32731154072,60039.80182364016,61451.03401135451,59439.17351196162,64.42404153868516,-795.6986378699803,-1056.45470389533,0.14266250357192384
2024-08-22,60381.9140625,27625734377,60072.38394162682,61409.10773885041,59448.55401535619,45.69354750871043,-674.2155511217279,-980.0068733406097,0.13940310061457858
2024-08-23,64094.35546875,42530509233,60455.42884897189,61514.411571395496,59494.780897461234,58.78029448408943,-275.20395444009046,-839.0462895605058,0.15750962147063458
2024-08-24,64178.9921875,21430585163,60810.05392883171,61618.90492888979,59541.3899669921,58.82289735944342,47.29984336677444,-661.7770629750498,0.17302013411486022
2024-08-25,64333.54296875,18827683555,61145.62431358583,61725.361322609795,59589.07308343106,67.27308389662392,311.7635667240975,-467.06893703522036,0.16380791304149098
2024-08-26,62880.66015625,27682040631,61310.865822411,61770.66715922314,59621.82519496408,60.32924775442678,399.5121448049249,-293.7527206671913,0.15622940921108538
2024-08-27,59504.1328125,39103882198,61138.796011943276,61681.78345935165,59620.65412643386,47.119798806968475,194.35557719240023,-196.13106109527297,0.13325277223361476
2024-08-28,59027.625,40289564698,60937.73210604392,61577.69881388688,59614.753338866736,50.815860742907326,-6.606522956353729,-158.22615346748913,0.13394478866296233
2024-08-29,59388.1796875,32224990582,60790.15568523021,61491.83531873445,59612.49887458347,55.38373966568031,-135.2179765149849,-153.6245180769883,0.13466528185735765
2024-08-30,59119.4765625,32292756405,60631.043387827325,61398.80164201937,59607.59317974077,50.70815722992998,-255.87599737698474,-174.0748139369876,0.13560460451160897
2024-08-31,58969.8984375,12403470760,60472.83910684377,61303.55053595978,59601.247958175096,48.35540753330186,-359.4248271420729,-211.14481657800468,0.13498222269935242
2024-09-01,57325.48828125,24592449997,60173.09140916817,61147.548094598606,59578.60358239757,46.40818483805161,-567.6348364065489,-282.4428205437136,0.1415051250410819
2024-09-02,59112.48046875,27036454524,60072.080843414056,61067.74152103592,59573.96554128675,48.8731367512776,-581.7414801447376,-342.3025524639184,0.14225767485935786
2024-09-03,57431.0234375,26666961053,59820.55156666033,60925.12512560313,59552.64273346913,45.63165783468278,-720.2974857926602,-417.90153912966684,0.14651858225001102
2024-09-04,57971.5390625,35627680312,59644.455137692676,60809.29822116771,59536.910358038454,40.28197078577714,-777.5261869607784,-489.8264686958892,0.14499176487413673
2024-09-05,56160.48828125,31030280656,59312.64877041242,60626.99194901407,59503.31411721009,37.93934074921091,-957.9740785516333,-583.4559906670381,0.15563702315710654
2024-09-06,53948.75390625,49361693566,58801.801640492195,60365.10026106254,59448.04485933016,18.29519636838242,-1264.8681992732163,-719.7384323882738,0.17993792579332973
2024-09-07,54139.6875,19061486526,58357.79076996913,60120.96642729538,59395.225381178774,18.834420909004038,-1475.666688664518,-870.9240836435229,0.1980192260498988
2024-09-08,54841.56640625,18268287531,58022.912259138735,59913.93113235242,59349.91533998035,21.50194424389811,-1568.0151457954198,-1010.3422960739023,0.2102860619508988
2024-09-09,57019.53515625,34618096173,57927.352535054095,59800.42540779938,59326.72747662123,33.13715335843574,-1448.7577102621362,-1098.0253789115493,0.21310360638639508
2024-09-10,57648.7109375,28857630507,57900.81524004894,59716.0444481798,59310.03079404506,43.65947842486252,-1288.621677533636,-1136.1446386359667,0.21193083524292156
2024-09-11,57343.171875,37049062672,57847.70634813952,59622.99062178059,59290.460057841854,44.17567153607648,-1172.8473129738923,-1143.4851735035518,0.21225341463160055
2024-09-12,58127.01171875,33835707949,57874.30685962624,59564.324782446056,59278.88345704861,45.76327991334945,-1006.2465861054443,-1116.0374560239304,0.1950389005629768
2024-09-13,60571.30078125,32490528356,58131.1634235904,59603.81403730111,59291.743331365884,54.255212210486505,-669.2657314523312,-1026.6831111096105,0.17617249925796694
